order_item_id,order_id,product_id,quantity,unit_price
1,1,14,1,3800
2,2,2,1,800
3,2,5,3,2500
4,2,3,1,1500
5,3,6,2,4800
6,3,12,1,1800
7,4,2,1,800
8,4,7,1,1500
9,4,10,1,2200
10,5,13,2,6500
11,5,9,3,7200
12,6,4,1,1200
13,6,6,3,4800
14,7,10,2,2200
15,7,6,2,4800
16,7,11,1,3000
17,8,7,1,1500
18,9,9,1,7200
19,9,3,2,1500
20,10,12,3,1800
21,11,5,1,2500
22,11,7,1,1500
23,12,7,2,1500
24,13,6,1,4800
25,13,8,2,5800
26,14,13,2,6500
27,14,15,2,980
28,15,11,2,3000
29,16,14,3,3800
30,17,5,1,2500
31,18,1,1,300
32,19,10,1,2200
33,19,14,1,3800
34,19,13,2,6500
35,20,12,1,1800
36,21,3,2,1500
37,22,13,2,6500
38,23,13,1,6500
39,23,7,3,1500
40,23,4,1,1200
41,24,4,3,1200
42,25,3,2,1500
43,26,9,1,7200
44,26,10,2,2200
45,27,14,2,3800
46,28,14,1,3800
47,28,9,1,7200
48,29,8,1,5800
49,29,5,2,2500
50,29,13,2,6500
51,30,11,1,3000
52,30,4,1,1200
53,31,5,1,2500
54,32,2,1,800
55,32,3,2,1500
56,32,14,2,3800
57,33,7,1,1500
58,34,1,1,300
59,35,15,2,980
60,36,1,1,300
61,36,14,1,3800
62,36,13,3,6500
63,37,7,2,1500
64,38,7,2,1500
65,38,9,2,7200
66,38,12,2,1800
67,39,5,1,2500
68,40,6,2,4800
69,41,12,2,1800
70,41,3,3,1500
71,42,9,1,7200
72,42,1,2,300
73,42,7,1,1500
74,43,14,1,3800
75,44,7,1,1500
76,45,6,2,4800
77,46,13,3,6500
78,47,14,1,3800
79,48,9,1,7200
80,49,4,2,1200
81,49,11,2,3000
82,49,2,2,800
83,50,4,2,1200
84,50,14,1,3800
85,50,1,1,300
86,51,4,1,1200
87,52,6,1,4800
88,53,12,1,1800
89,53,15,2,980
90,54,2,3,800
91,54,10,1,2200
92,54,1,3,300
93,55,12,1,1800
94,56,14,1,3800
95,56,11,2,3000
96,57,11,2,3000
97,58,10,2,2200
98,59,7,2,1500
99,60,11,1,3000
100,61,14,1,3800
101,61,8,3,5800
102,62,14,2,3800
103,62,8,1,5800
104,63,11,2,3000
105,63,5,3,2500
106,64,8,2,5800
107,64,7,1,1500
108,65,4,2,1200
109,66,15,1,980
110,67,10,2,2200
111,67,15,1,980
112,68,6,1,4800
113,69,13,1,6500
114,70,10,2,2200
115,71,1,1,300
116,72,4,2,1200
117,73,13,1,6500
118,74,12,1,1800
119,75,2,1,800
120,75,5,2,2500
121,76,10,1,2200
122,77,6,3,4800
123,77,7,1,1500
124,78,8,1,5800
125,79,2,2,800
126,80,12,1,1800
127,81,3,1,1500
128,81,4,1,1200
129,82,13,1,6500
130,82,9,3,7200
131,83,5,1,2500
132,83,4,1,1200
