order_id,customer_id,order_date,status,payment_method
1,7,2024-01-23 09:02:00,cancelled,card
2,25,2024-01-10 09:54:00,shipped,card
3,13,2024-01-09 15:40:00,paid,card
4,12,2024-01-12 11:42:00,paid,card
5,20,2024-01-21 10:34:00,cancelled,card
6,6,2024-01-15 14:17:00,cancelled,cod
7,8,2024-01-22 13:53:00,paid,card
8,27,2024-01-02 20:20:00,shipped,card
9,3,2024-01-07 22:36:00,cancelled,card
10,21,2024-02-16 14:56:00,cancelled,bank
11,5,2024-02-09 10:15:00,cancelled,cod
12,18,2024-02-09 19:37:00,shipped,cod
13,13,2024-02-12 11:08:00,shipped,bank
14,3,2024-02-25 08:55:00,paid,card
15,21,2024-02-06 20:43:00,shipped,cod
16,13,2024-03-13 17:29:00,shipped,card
17,18,2024-03-28 08:43:00,cancelled,card
18,22,2024-03-18 20:17:00,cancelled,card
19,4,2024-03-10 14:10:00,shipped,card
20,24,2024-03-24 12:32:00,shipped,cod
21,28,2024-04-21 12:53:00,cancelled,cod
22,20,2024-04-07 10:23:00,shipped,cod
23,25,2024-04-17 22:00:00,shipped,card
24,16,2024-04-01 09:59:00,paid,card
25,8,2024-04-02 11:56:00,shipped,card
26,24,2024-05-16 21:04:00,shipped,card
27,5,2024-05-22 15:35:00,shipped,card
28,17,2024-05-28 17:27:00,shipped,cod
29,25,2024-05-24 19:12:00,cancelled,card
30,13,2024-05-22 18:23:00,shipped,cod
31,4,2024-06-08 11:04:00,paid,card
32,19,2024-06-18 11:37:00,shipped,card
33,3,2024-06-23 18:03:00,shipped,card
34,29,2024-06-02 21:21:00,paid,cod
35,8,2024-06-09 18:31:00,shipped,cod
36,5,2024-06-24 22:56:00,shipped,cod
37,16,2024-06-08 20:30:00,shipped,card
38,4,2024-06-04 18:27:00,paid,bank
39,15,2024-07-28 19:03:00,cancelled,card
40,2,2024-07-13 19:21:00,paid,card
41,7,2024-07-07 16:28:00,shipped,bank
42,6,2024-07-09 15:15:00,paid,bank
43,26,2024-07-28 21:35:00,paid,card
44,21,2024-07-18 21:00:00,paid,card
45,6,2024-07-14 15:30:00,shipped,bank
46,29,2024-07-02 10:24:00,paid,bank
47,30,2024-08-26 20:29:00,paid,bank
48,23,2024-08-24 20:35:00,cancelled,bank
49,5,2024-08-07 12:13:00,paid,cod
50,24,2024-08-18 08:47:00,paid,card
51,2,2024-08-19 15:32:00,shipped,card
52,2,2024-08-17 09:54:00,shipped,card
53,20,2024-08-03 18:55:00,shipped,bank
54,29,2024-09-19 11:37:00,shipped,card
55,20,2024-09-03 14:42:00,shipped,cod
56,17,2024-09-11 22:16:00,shipped,card
57,8,2024-09-09 14:08:00,cancelled,card
58,15,2024-09-11 22:48:00,paid,card
59,20,2024-10-19 09:04:00,shipped,card
60,17,2024-10-09 10:59:00,paid,card
61,29,2024-10-08 13:18:00,shipped,bank
62,27,2024-10-18 19:19:00,shipped,cod
63,1,2024-10-22 21:35:00,paid,card
64,29,2024-10-05 12:07:00,paid,cod
65,5,2024-10-09 12:38:00,shipped,card
66,7,2024-10-22 18:54:00,paid,cod
67,9,2024-11-28 08:05:00,cancelled,bank
68,27,2024-11-09 08:00:00,paid,card
69,21,2024-11-09 10:47:00,shipped,cod
70,23,2024-11-14 16:00:00,paid,card
71,29,2024-11-23 22:09:00,shipped,card
72,27,2024-11-12 17:35:00,shipped,bank
73,5,2024-11-02 12:23:00,paid,card
74,7,2024-11-22 11:42:00,paid,card
75,29,2024-12-28 14:39:00,cancelled,card
76,30,2024-12-08 21:10:00,shipped,bank
77,1,2024-12-06 19:59:00,paid,bank
78,26,2024-12-22 21:47:00,shipped,card
79,6,2024-12-26 19:06:00,shipped,card
80,28,2024-12-16 11:12:00,shipped,card
81,10,2024-12-27 20:55:00,shipped,card
82,1,2024-12-22 11:25:00,paid,card
83,28,2024-12-03 20:17:00,paid,cod
