stage_id,application_id,stage_name,stage_entered_at,stage_left_at,result
1,1,applied,2024-01-06 10:00:00,2024-01-08 09:00:00,pass
2,1,screening,2024-01-08 09:00:00,2024-01-12 10:00:00,pass
3,1,interview,2024-01-12 10:00:00,2024-01-20 16:00:00,pass
4,1,offer,2024-01-20 16:00:00,2024-01-25 15:00:00,pass
5,1,hired,2024-01-25 15:00:00,,pending
6,2,applied,2024-01-20 09:30:00,2024-01-25 10:00:00,pass
7,2,screening,2024-01-25 10:00:00,2024-02-05 10:00:00,fail
8,2,rejected,2024-02-05 10:00:00,,pending
9,3,applied,2024-02-05 11:00:00,2024-02-10 09:00:00,pass
10,3,screening,2024-02-10 09:00:00,2024-02-15 14:00:00,pass
11,3,interview,2024-02-15 14:00:00,,pending
12,4,applied,2024-02-20 14:00:00,,pending
