application_id,candidate_id,job_id,source_id,applied_at,current_status,hired_flag,hired_at,rejected_at
1,1,6,5,2024-06-26 17:42:00,rejected,0,,2024-07-10 03:42:00
2,12,1,3,2024-02-15 12:54:00,offer,0,,
3,13,6,4,2024-05-02 09:32:00,screening,0,,
4,2,3,2,2024-03-05 15:59:00,interview,0,,
5,7,6,5,2024-06-20 18:53:00,rejected,0,,2024-07-01 22:53:00
6,10,1,4,2024-01-21 13:35:00,rejected,0,,2024-02-08 00:35:00
7,4,4,3,2024-03-10 10:57:00,screening,0,,
8,18,5,2,2024-04-25 12:13:00,interview,0,,
9,16,6,2,2024-05-06 16:15:00,applied,0,,
10,19,5,1,2024-04-09 13:50:00,screening,0,,
11,8,5,5,2024-04-19 18:00:00,screening,0,,
12,6,2,2,2024-02-22 08:25:00,hired,1,2024-03-21 02:25:00,
13,11,6,4,2024-05-16 11:07:00,screening,0,,
14,5,6,3,2024-05-06 16:58:00,offer,0,,
15,17,6,2,2024-06-23 10:09:00,screening,0,,
16,20,6,4,2024-05-12 13:55:00,rejected,0,,2024-05-18 23:55:00
17,9,6,4,2024-05-14 12:11:00,rejected,0,,2024-05-25 23:11:00
18,14,4,1,2024-04-21 11:36:00,screening,0,,
19,15,2,4,2024-02-08 12:20:00,screening,0,,
20,3,3,2,2024-02-10 08:56:00,interview,0,,
21,1,4,4,2024-04-22 09:02:00,interview,0,,
22,12,4,3,2024-04-10 11:35:00,offer,0,,
23,13,2,5,2024-02-11 08:13:00,interview,0,,
24,2,1,5,2024-01-03 11:08:00,applied,0,,
25,7,2,3,2024-01-19 12:11:00,screening,0,,
