id,customer_id,month,mrr,change_type
1,1,2023-09-01,15000,new
2,1,2023-12-01,35000,expansion
3,1,2024-01-01,-50000,churn
4,2,2023-05-01,15000,new
5,3,2024-02-01,50000,new
6,3,2024-08-01,-35000,contraction
7,4,2024-03-01,15000,new
8,4,2024-04-01,35000,expansion
9,4,2024-05-01,-45000,contraction
10,5,2023-04-01,50000,new
11,5,2024-03-01,-35000,contraction
12,6,2024-05-01,5000,new
13,6,2024-06-01,10000,expansion
14,7,2023-10-01,15000,new
15,7,2024-03-01,-15000,churn
16,8,2024-01-01,5000,new
17,8,2024-02-01,10000,expansion
18,9,2023-07-01,15000,new
19,10,2023-07-01,5000,new
20,10,2024-05-01,10000,expansion
21,11,2024-01-01,50000,new
22,12,2024-05-01,5000,new
23,12,2024-12-01,10000,expansion
24,13,2024-04-01,15000,new
25,13,2024-07-01,-10000,contraction
26,13,2024-08-01,45000,expansion
27,14,2024-01-01,5000,new
28,14,2024-11-01,10000,expansion
29,15,2024-05-01,5000,new
30,15,2024-11-01,10000,expansion
31,16,2023-08-01,50000,new
32,16,2024-02-01,-35000,contraction
33,17,2024-01-01,15000,new
34,17,2024-04-01,-10000,contraction
35,17,2024-09-01,45000,expansion
36,18,2023-12-01,5000,new
37,18,2024-09-01,-5000,churn
38,19,2023-10-01,15000,new
39,19,2024-05-01,-10000,contraction
40,19,2024-09-01,45000,expansion
41,20,2023-12-01,50000,new
42,21,2023-10-01,15000,new
43,21,2023-12-01,-10000,contraction
44,21,2024-01-01,45000,expansion
45,22,2023-10-01,15000,new
46,22,2023-12-01,-15000,churn
47,23,2024-02-01,5000,new
48,23,2024-07-01,-5000,churn
49,24,2023-11-01,15000,new
50,24,2024-03-01,-10000,contraction
51,24,2024-05-01,-5000,churn
52,25,2024-03-01,50000,new
53,25,2024-07-01,-35000,contraction
54,26,2024-03-01,15000,new
55,26,2024-05-01,35000,expansion
56,27,2023-12-01,5000,new
57,27,2024-09-01,-5000,churn
58,28,2023-09-01,5000,new
59,28,2023-11-01,10000,expansion
60,29,2024-01-01,15000,new
61,29,2024-02-01,-10000,contraction
62,29,2024-10-01,-5000,churn
63,30,2024-04-01,5000,new
64,30,2024-06-01,10000,expansion
65,31,2024-03-01,50000,new
66,31,2024-06-01,-50000,churn
67,32,2023-11-01,15000,new
68,32,2024-01-01,35000,expansion
69,32,2024-05-01,-50000,churn
70,33,2023-05-01,50000,new
71,33,2024-04-01,-35000,contraction
72,34,2023-08-01,5000,new
73,34,2024-10-01,10000,expansion
74,35,2023-06-01,15000,new
75,35,2023-08-01,-15000,churn
76,36,2023-07-01,5000,new
77,36,2023-09-01,10000,expansion
78,37,2024-01-01,15000,new
79,37,2024-02-01,35000,expansion
80,37,2024-06-01,-45000,contraction
81,38,2023-12-01,15000,new
82,38,2024-10-01,35000,expansion
83,39,2023-05-01,15000,new
84,39,2023-07-01,-10000,contraction
85,39,2023-08-01,45000,expansion
86,39,2024-01-01,-45000,contraction
87,40,2024-01-01,5000,new
88,40,2024-04-01,10000,expansion
